q,columns,layers,qubits,volume,idle,sec,code,method,excel_row,n_filled,n,k,dist,idle_true,footprint,util
39,105,101,39,3997,98,69.6,"[[17,2,6]]",greedy,3,7,17,2,6,98,4095,0.976068376068376
40,94,90,40,3667,93,79.9,"[[17,2,6]]",greedy,4,7,17,2,6,93,3760,0.9752659574468086
41,84,80,41,3358,86,54.5,"[[17,2,6]]",greedy,5,7,17,2,6,86,3444,0.9750290360046457
42,81,77,42,3303,99,68.2,"[[17,2,6]]",greedy,6,7,17,2,6,99,3402,0.9708994708994709
43,78,74,43,3244,110,65.7,"[[17,2,6]]",greedy,7,7,17,2,6,110,3354,0.9672033392963626
44,73,69,44,3130,82,75.0,"[[17,2,6]]",greedy,8,7,17,2,6,82,3212,0.9744707347447074
45,69,65,45,3020,85,33.3,"[[17,2,6]]",greedy,9,7,17,2,6,85,3105,0.9726247987117552
46,65,61,46,2871,119,43.2,"[[17,2,6]]",greedy,10,7,17,2,6,119,2990,0.960200668896321
47,62,58,47,2845,69,54.4,"[[17,2,6]]",greedy,11,7,17,2,6,69,2914,0.9763212079615649
48,60,56,48,2745,135,26.7,"[[17,2,6]]",greedy,12,7,17,2,6,135,2880,0.953125
49,58,54,49,2719,123,49.0,"[[17,2,6]]",greedy,13,7,17,2,6,123,2842,0.9567206192821957
50,55,51,50,2622,128,34.3,"[[17,2,6]]",greedy,14,7,17,2,6,128,2750,0.9534545454545454
51,54,50,51,2653,101,47.1,"[[17,2,6]]",greedy,15,7,17,2,6,101,2754,0.9633260711692084
52,51,47,52,2517,135,40.5,"[[17,2,6]]",greedy,16,7,17,2,6,135,2652,0.9490950226244343
53,50,46,53,2510,140,31.1,"[[17,2,6]]",greedy,17,7,17,2,6,140,2650,0.9471698113207547
54,48,44,54,2453,139,19.9,"[[17,2,6]]",greedy,18,7,17,2,6,139,2592,0.9463734567901234
55,47,43,55,2429,156,19.4,"[[17,2,6]]",greedy,19,7,17,2,6,156,2585,0.9396518375241779
56,47,43,55,2429,203,36.3,"[[17,2,6]]",greedy,20,7,17,2,6,156,2585,0.9396518375241779
57,45,41,57,2426,139,34.5,"[[17,2,6]]",greedy,21,7,17,2,6,139,2565,0.9458089668615984
58,42,38,58,2321,115,33.2,"[[17,2,6]]",greedy,22,7,17,2,6,115,2436,0.9527914614121511
59,41,37,59,2247,172,24.1,"[[17,2,6]]",greedy,23,7,17,2,6,172,2419,0.9288962381149235
60,41,37,59,2247,213,24.7,"[[17,2,6]]",greedy,24,7,17,2,6,172,2419,0.9288962381149235
61,40,36,61,2310,130,23.9,"[[17,2,6]]",greedy,25,7,17,2,6,130,2440,0.9467213114754098
62,40,36,62,2302,178,22.4,"[[17,2,6]]",greedy,26,7,17,2,6,178,2480,0.9282258064516129
63,38,34,63,2255,139,29.5,"[[17,2,6]]",greedy,27,7,17,2,6,139,2394,0.9419381787802841
64,38,34,63,2255,177,22.1,"[[17,2,6]]",greedy,28,7,17,2,6,139,2394,0.9419381787802841
65,37,33,65,2249,156,14.3,"[[17,2,6]]",greedy,29,7,17,2,6,156,2405,0.9351351351351351
66,37,33,66,2229,213,14.6,"[[17,2,6]]",greedy,30,7,17,2,6,213,2442,0.9127764127764127
67,36,32,67,2235,177,20.6,"[[17,2,6]]",greedy,31,7,17,2,6,177,2412,0.9266169154228856
68,35,31,68,2226,154,20.3,"[[17,2,6]]",greedy,32,7,17,2,6,154,2380,0.9352941176470588
69,35,31,68,2226,189,20.3,"[[17,2,6]]",greedy,33,7,17,2,6,154,2380,0.9352941176470588
70,35,31,68,2226,224,13.8,"[[17,2,6]]",greedy,34,7,17,2,6,154,2380,0.9352941176470588
71,34,30,71,2238,176,19.5,"[[17,2,6]]",greedy,35,7,17,2,6,176,2414,0.9270919635459818
72,34,30,71,2238,210,20.5,"[[17,2,6]]",greedy,36,7,17,2,6,176,2414,0.9270919635459818
73,34,30,73,2234,248,13.3,"[[17,2,6]]",greedy,37,7,17,2,6,248,2482,0.9000805801772764
74,34,30,73,2234,282,18.5,"[[17,2,6]]",greedy,38,7,17,2,6,248,2482,0.9000805801772764
75,32,28,75,2238,162,23.9,"[[17,2,6]]",greedy,39,7,17,2,6,162,2400,0.9325
76,32,28,75,2238,194,23.8,"[[17,2,6]]",greedy,40,7,17,2,6,162,2400,0.9325
77,32,28,75,2238,226,12.4,"[[17,2,6]]",greedy,41,7,17,2,6,162,2400,0.9325
78,31,27,78,2205,213,17.5,"[[17,2,6]]",greedy,42,7,17,2,6,213,2418,0.9119106699751861
79,31,27,78,2205,244,17.4,"[[17,2,6]]",greedy,43,7,17,2,6,213,2418,0.9119106699751861
80,31,27,78,2205,275,11.5,"[[17,2,6]]",greedy,44,7,17,2,6,213,2418,0.9119106699751861
81,31,27,78,2205,306,11.8,"[[17,2,6]]",greedy,45,7,17,2,6,213,2418,0.9119106699751861
82,30,26,82,2263,197,21.6,"[[17,2,6]]",greedy,46,7,17,2,6,197,2460,0.9199186991869919
83,30,26,83,2250,240,16.5,"[[17,2,6]]",greedy,47,7,17,2,6,240,2490,0.9036144578313253
84,30,26,83,2250,270,11.1,"[[17,2,6]]",greedy,48,7,17,2,6,240,2490,0.9036144578313253
85,30,26,83,2250,300,16.1,"[[17,2,6]]",greedy,49,7,17,2,6,240,2490,0.9036144578313253
86,30,26,83,2250,330,20.9,"[[17,2,6]]",greedy,50,7,17,2,6,240,2490,0.9036144578313253
87,28,24,87,2247,189,24.5,"[[17,2,6]]",greedy,51,7,17,2,6,189,2436,0.9224137931034483
88,28,24,87,2247,217,15.6,"[[17,2,6]]",greedy,52,7,17,2,6,189,2436,0.9224137931034483
89,28,24,87,2247,245,19.8,"[[17,2,6]]",greedy,53,7,17,2,6,189,2436,0.9224137931034483
90,28,24,87,2247,273,10.1,"[[17,2,6]]",greedy,54,7,17,2,6,189,2436,0.9224137931034483
91,28,24,87,2247,301,10.6,"[[17,2,6]]",greedy,55,7,17,2,6,189,2436,0.9224137931034483
92,28,24,87,2247,329,9.8,"[[17,2,6]]",greedy,56,7,17,2,6,189,2436,0.9224137931034483
93,28,24,87,2247,357,10.2,"[[17,2,6]]",greedy,57,7,17,2,6,189,2436,0.9224137931034483
94,27,23,94,2284,254,13.8,"[[17,2,6]]",greedy,58,7,17,2,6,254,2538,0.8999211977935382
95,27,23,95,2266,299,13.9,"[[17,2,6]]",greedy,59,7,17,2,6,299,2565,0.8834307992202729
96,26,22,96,2232,264,17.2,"[[17,2,6]]",greedy,60,7,17,2,6,264,2496,0.8942307692307693
97,26,22,96,2232,290,9.4,"[[17,2,6]]",greedy,61,7,17,2,6,264,2496,0.8942307692307693
98,26,22,96,2232,316,9.3,"[[17,2,6]]",greedy,62,7,17,2,6,264,2496,0.8942307692307693
45,85,81,45,3704,121,44.9,"[[20,2,6]]",greedy,3,7,20,2,6,121,3825,0.9683660130718954
46,79,75,46,3542,92,61.3,"[[20,2,6]]",greedy,4,7,20,2,6,92,3634,0.9746835443037974
47,71,67,47,3241,96,38.7,"[[20,2,6]]",greedy,5,7,20,2,6,96,3337,0.9712316451902907
48,69,65,48,3204,108,38.0,"[[20,2,6]]",greedy,6,7,20,2,6,108,3312,0.967391304347826
49,64,60,49,3021,115,47.2,"[[20,2,6]]",greedy,7,7,20,2,6,115,3136,0.9633290816326531
50,62,58,50,2991,109,43.3,"[[20,2,6]]",greedy,8,7,20,2,6,109,3100,0.9648387096774194
51,59,55,51,2887,122,39.4,"[[20,2,6]]",greedy,9,7,20,2,6,122,3009,0.9594549684280492
52,56,52,52,2785,127,36.8,"[[20,2,6]]",greedy,10,7,20,2,6,127,2912,0.9563873626373627
53,56,52,52,2785,183,37.8,"[[20,2,6]]",greedy,11,7,20,2,6,127,2912,0.9563873626373627
54,54,50,54,2769,147,35.3,"[[20,2,6]]",greedy,12,7,20,2,6,147,2916,0.9495884773662552
55,53,49,55,2786,129,24.0,"[[20,2,6]]",greedy,13,7,20,2,6,129,2915,0.9557461406518011
56,50,46,56,2645,155,32.5,"[[20,2,6]]",greedy,14,7,20,2,6,155,2800,0.9446428571428571
57,49,45,57,2666,127,32.6,"[[20,2,6]]",greedy,15,7,20,2,6,127,2793,0.9545291800930898
58,48,44,58,2628,156,41.6,"[[20,2,6]]",greedy,16,7,20,2,6,156,2784,0.9439655172413793
59,46,42,59,2576,138,30.2,"[[20,2,6]]",greedy,17,7,20,2,6,138,2714,0.9491525423728814
60,46,42,59,2576,184,20.6,"[[20,2,6]]",greedy,18,7,20,2,6,138,2714,0.9491525423728814
61,44,40,61,2504,180,19.6,"[[20,2,6]]",greedy,19,7,20,2,6,180,2684,0.9329359165424739
62,44,40,61,2504,224,19.0,"[[20,2,6]]",greedy,20,7,20,2,6,180,2684,0.9329359165424739
63,44,40,61,2504,268,19.1,"[[20,2,6]]",greedy,21,7,20,2,6,180,2684,0.9329359165424739
64,41,37,64,2428,196,17.3,"[[20,2,6]]",greedy,22,7,20,2,6,196,2624,0.9253048780487805
65,41,37,64,2428,237,25.6,"[[20,2,6]]",greedy,23,7,20,2,6,196,2624,0.9253048780487805
66,40,36,66,2447,193,32.6,"[[20,2,6]]",greedy,24,7,20,2,6,193,2640,0.9268939393939394
67,39,35,67,2430,183,16.2,"[[20,2,6]]",greedy,25,7,20,2,6,183,2613,0.9299655568312285
68,38,34,68,2396,188,23.6,"[[20,2,6]]",greedy,26,7,20,2,6,188,2584,0.9272445820433437
69,37,33,69,2379,174,15.7,"[[20,2,6]]",greedy,27,7,20,2,6,174,2553,0.9318448883666275
70,37,33,69,2379,211,15.6,"[[20,2,6]]",greedy,28,7,20,2,6,174,2553,0.9318448883666275
71,37,33,69,2379,248,22.6,"[[20,2,6]]",greedy,29,7,20,2,6,174,2553,0.9318448883666275
72,36,32,72,2361,231,14.9,"[[20,2,6]]",greedy,30,7,20,2,6,231,2592,0.9108796296296297
73,35,31,73,2345,210,20.5,"[[20,2,6]]",greedy,31,7,20,2,6,210,2555,0.9178082191780822
74,34,30,74,2308,208,13.6,"[[20,2,6]]",greedy,32,7,20,2,6,208,2516,0.9173290937996821
75,34,30,74,2308,242,13.9,"[[20,2,6]]",greedy,33,7,20,2,6,208,2516,0.9173290937996821
76,33,29,76,2296,212,24.9,"[[20,2,6]]",greedy,34,7,20,2,6,212,2508,0.9154704944178629
77,33,29,76,2296,245,31.4,"[[20,2,6]]",greedy,35,7,20,2,6,212,2508,0.9154704944178629
78,33,29,76,2296,278,24.5,"[[20,2,6]]",greedy,36,7,20,2,6,212,2508,0.9154704944178629
79,33,29,76,2296,311,18.5,"[[20,2,6]]",greedy,37,7,20,2,6,212,2508,0.9154704944178629
80,32,28,80,2331,229,14.0,"[[20,2,6]]",greedy,38,7,20,2,6,229,2560,0.910546875
81,31,27,81,2243,268,22.9,"[[20,2,6]]",greedy,39,7,20,2,6,268,2511,0.8932696136997212
82,31,27,81,2243,299,12.1,"[[20,2,6]]",greedy,40,7,20,2,6,268,2511,0.8932696136997212
83,31,27,81,2243,330,13.7,"[[20,2,6]]",greedy,41,7,20,2,6,268,2511,0.8932696136997212
84,31,27,81,2243,361,17.3,"[[20,2,6]]",greedy,42,7,20,2,6,268,2511,0.8932696136997212
85,30,26,85,2306,244,11.6,"[[20,2,6]]",greedy,43,7,20,2,6,244,2550,0.9043137254901961
86,30,26,86,2288,292,11.3,"[[20,2,6]]",greedy,44,7,20,2,6,292,2580,0.8868217054263566
87,30,26,86,2288,322,21.7,"[[20,2,6]]",greedy,45,7,20,2,6,292,2580,0.8868217054263566
88,29,25,88,2289,263,11.1,"[[20,2,6]]",greedy,46,7,20,2,6,263,2552,0.8969435736677116
89,29,25,88,2289,292,10.8,"[[20,2,6]]",greedy,47,7,20,2,6,263,2552,0.8969435736677116
90,29,25,88,2289,321,15.9,"[[20,2,6]]",greedy,48,7,20,2,6,263,2552,0.8969435736677116
91,29,25,88,2289,350,10.6,"[[20,2,6]]",greedy,49,7,20,2,6,263,2552,0.8969435736677116
92,29,25,88,2289,379,10.7,"[[20,2,6]]",greedy,50,7,20,2,6,263,2552,0.8969435736677116
93,28,24,93,2326,278,10.3,"[[20,2,6]]",greedy,51,7,20,2,6,278,2604,0.8932411674347158
94,28,24,93,2326,306,15.0,"[[20,2,6]]",greedy,52,7,20,2,6,278,2604,0.8932411674347158
95,28,24,95,2326,334,15.0,"[[20,2,6]]",greedy,53,7,20,2,6,334,2660,0.8744360902255639
96,28,24,95,2326,362,14.6,"[[20,2,6]]",greedy,54,7,20,2,6,334,2660,0.8744360902255639
97,28,24,97,2304,412,18.4,"[[20,2,6]]",greedy,55,7,20,2,6,412,2716,0.8483063328424153
98,27,23,98,2330,316,14.6,"[[20,2,6]]",greedy,56,7,20,2,6,316,2646,0.8805744520030234
43,97,93,43,4100,71,56.1,"[[21,2,6]]",greedy,3,7,21,2,6,71,4171,0.9829777031886837
44,92,88,44,3952,96,79.6,"[[21,2,6]]",greedy,4,7,21,2,6,96,4048,0.9762845849802372
45,84,80,45,3702,78,48.5,"[[21,2,6]]",greedy,5,7,21,2,6,78,3780,0.9793650793650793
46,81,77,46,3659,67,43.4,"[[21,2,6]]",greedy,6,7,21,2,6,67,3726,0.9820182501341922
47,75,71,47,3426,99,40.1,"[[21,2,6]]",greedy,7,7,21,2,6,99,3525,0.9719148936170213
48,70,66,48,3250,110,53.6,"[[21,2,6]]",greedy,8,7,21,2,6,110,3360,0.9672619047619048
49,66,62,49,3137,97,33.4,"[[21,2,6]]",greedy,9,7,21,2,6,97,3234,0.9700061842918986
50,62,58,50,2992,108,30.4,"[[21,2,6]]",greedy,10,7,21,2,6,108,3100,0.9651612903225807
51,59,55,51,2919,90,29.6,"[[21,2,6]]",greedy,11,7,21,2,6,90,3009,0.9700897308075773
52,59,55,51,2919,149,30.2,"[[21,2,6]]",greedy,12,7,21,2,6,90,3009,0.9700897308075773
53,58,54,53,2955,119,28.8,"[[21,2,6]]",greedy,13,7,21,2,6,119,3074,0.961288223812622
54,55,51,54,2870,100,25.9,"[[21,2,6]]",greedy,14,7,21,2,6,100,2970,0.9663299663299664
55,53,49,55,2774,141,25.0,"[[21,2,6]]",greedy,15,7,21,2,6,141,2915,0.9516295025728988
56,50,46,56,2681,119,23.5,"[[21,2,6]]",greedy,16,7,21,2,6,119,2800,0.9575
57,50,46,56,2681,169,23.3,"[[21,2,6]]",greedy,17,7,21,2,6,119,2800,0.9575
58,49,45,58,2671,171,22.0,"[[21,2,6]]",greedy,18,7,21,2,6,171,2842,0.9398311048557354
