code,"[[21,2,6]]",,,,,,,,code,"[[20,2,6]]",,,,,,,,code,"[[17,2,6]]",,,,,,,,code,"[[16,3,5]]",,,,,,,,code,"[[19,2,6]]",,,,,,
seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec
23,43,97,93,43,4100,71,103.6,,,45,85,81,45,3704,121,93.8,,,39,105,101,39,3997,98,116.3,,,40,52,48,40,2006,74,79.1,,,41,97,93,41,3873,104,157
,44,97,93,43,4100,168,48.1,,,46,84,80,46,3676,188,46.5,,,40,105,101,39,3997,203,46.7,,,41,52,48,40,2006,126,41.4,,,42,97,93,41,3873,201,47
,45,97,93,43,4100,265,46.8,,,47,84,80,46,3676,272,47.1,,,41,105,101,39,3997,308,45.9,,,42,52,48,40,2006,178,38.7,,,43,97,93,41,3873,298,46.4
,46,97,93,43,4100,362,46.1,,,48,84,80,46,3676,356,45.7,,,42,105,101,39,3997,413,45.7,,,43,52,48,40,2006,230,43.7,,,44,97,93,41,3873,395,46.8
,47,94,90,47,4255,163,45.7,,,49,84,80,46,3676,440,45.2,,,43,100,96,43,4118,182,45.8,,,44,52,48,40,2006,282,52.8,,,45,90,86,45,3885,165,46.5
,48,92,88,48,4245,171,45.5,,,50,82,78,50,3941,159,45,,,44,90,86,44,3790,170,44.7,,,45,52,48,40,2006,334,41.6,,,46,88,84,46,3882,166,47.6
,49,86,82,49,4026,188,45.2,,,51,82,78,50,3941,241,46,,,45,90,86,44,3790,260,46,,,46,52,48,40,2006,386,40.6,,,47,88,84,46,3882,254,46
,50,86,82,49,4026,274,45.1,,,52,77,73,52,3777,227,45.9,,,46,87,84,46,3825,177,45,,,47,52,48,40,2006,438,39.7,,,48,82,78,48,3777,159,46.3
,51,84,80,51,4090,194,45.4,,,53,77,73,52,3777,304,45.4,,,47,84,81,47,3741,207,44.8,,,48,52,48,40,2006,490,40,,,49,80,77,49,3729,191,46
,52,83,79,52,4111,205,45.3,,,54,77,73,52,3777,381,44.5,,,48,81,78,48,3734,154,44.3,,,49,52,48,40,2006,542,39.3,,,50,78,74,50,3681,219,45
,53,80,76,53,4008,232,47.5,,,55,73,69,55,3765,250,45.3,,,49,79,76,49,3656,215,43.7,,,50,52,48,40,2006,594,39.3,,,51,74,71,51,3570,204,45
,54,78,74,54,4033,179,49,,,56,72,68,56,3792,240,46.4,,,50,75,71,50,3531,219,44.2,,,51,52,48,40,2006,646,39.2,,,52,74,71,51,3570,278,44.5
