code,"[[20,2,6]]",,,,,,,,code,"[[21,2,6]]",,,,,,,,code,"[[19,2,6]]",,,,,,,,code,"[[17,2,6]]",,,,,,,,code,"[[16,3,5]]",,,,,,
seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec,,seed,q,columns,layers,qubits,volume,idle,sec
,45,466,462,45,13603,7367,0.6,,,43,470,466,43,14544,5666,0.7,,,41,462,458,41,12975,5967,0.7,,,39,454,450,39,12057,5649,0.6,,,40,395,393,40,12143,3657,0.5
,46,466,462,45,13603,7833,0.6,,,44,470,466,43,14544,6136,0.6,,,42,462,458,41,12975,6429,0.6,,,40,454,450,39,12057,6103,0.6,,,41,200,197,41,6413,1787,0.5
,47,235,231,47,7376,3669,0.6,,,45,470,466,43,14544,6606,0.6,,,43,233,229,43,7003,3016,0.6,,,41,229,225,41,6592,2797,0.6,,,42,200,197,41,6413,1987,0.5
,48,235,231,47,7376,3904,0.6,,,46,470,466,43,14544,7076,0.6,,,44,233,229,43,7003,3249,0.6,,,42,229,225,41,6592,3026,0.6,,,43,102,99,43,3568,818,0.5
,49,159,155,49,5371,2420,0.7,,,47,470,466,43,14544,7546,0.6,,,45,233,229,43,7003,3482,0.6,,,43,155,151,43,4834,1831,0.6,,,44,83,80,44,2998,654,0.5
,50,159,155,49,5371,2579,0.6,,,48,237,233,48,7845,3531,0.6,,,46,233,229,43,7003,3715,0.6,,,44,155,151,43,4834,1986,0.7,,,45,83,80,44,2998,737,0.5
,51,120,116,51,4447,1673,0.6,,,49,237,233,48,7845,3768,0.6,,,47,119,115,47,4205,1388,0.6,,,45,155,151,43,4834,2141,0.7,,,46,70,66,46,2663,557,0.5
,52,120,116,51,4447,1793,0.6,,,50,160,156,50,5685,2315,0.6,,,48,119,115,47,4205,1507,0.6,,,46,117,113,46,4009,1373,0.6,,,47,70,66,46,2663,627,0.4
,53,98,94,53,3814,1380,0.6,,,51,160,156,50,5685,2475,0.6,,,49,119,115,47,4205,1626,0.6,,,47,117,113,46,4009,1490,0.6,,,48,61,57,48,2407,521,0.4
,54,98,94,53,3814,1478,0.6,,,52,121,117,52,4626,1666,0.7,,,50,119,115,47,4205,1745,0.6,,,48,117,113,46,4009,1607,0.7,,,49,54,50,49,2212,434,0.5
,55,98,94,53,3814,1576,0.6,,,53,121,117,52,4626,1787,0.7,,,51,96,92,51,3667,1229,1,,,49,117,113,46,4009,1724,0.6,,,50,54,50,49,2212,488,0.5
,56,71,67,56,3220,756,0.6,,,54,121,117,52,4626,1908,0.6,,,52,96,92,51,3667,1325,0.6,,,50,95,91,50,3513,1237,0.6,,,51,48,45,51,2074,374,0.5
,57,71,67,56,3220,827,0.6,,,55,121,117,52,4626,2029,0.6,,,53,96,92,51,3667,1421,0.6,,,51,95,91,50,3513,1332,0.6,,,52,48,45,51,2074,422,0.4
,58,71,67,56,3220,898,0.6,,,56,121,117,52,4626,2150,0.7,,,54,96,92,51,3667,1517,0.6,,,52,95,91,50,3513,1427,0.6,,,53,48,45,51,2074,470,0.4
,59,71,67,56,3220,969,0.6,,,57,98,94,57,4080,1506,0.6,,,55,96,92,51,3667,1613,0.6,,,53,80,76,53,3227,1013,0.6,,,54,44,40,54,1967,409,0.4
,60,71,67,56,3220,1040,0.6,,,58,98,94,57,4080,1604,0.7,,,56,96,92,51,3667,1709,0.6,,,54,80,76,53,3227,1093,0.6,,,55,44,40,54,1967,453,0.4
,61,71,67,56,3220,1111,0.6,,,59,98,94,57,4080,1702,0.6,,,57,96,92,51,3667,1805,0.6,,,55,70,66,55,3062,788,0.6,,,56,41,37,56,1881,415,0.4
,62,63,59,62,3014,892,0.6,,,60,98,94,57,4080,1800,0.6,,,58,56,52,58,2784,464,0.6,,,56,70,66,55,3062,858,0.6,,,57,41,37,56,1881,456,0.5
,63,63,59,62,3014,955,0.6,,,61,83,79,61,3675,1388,0.6,,,59,56,52,58,2784,520,0.6,,,57,70,66,55,3062,928,0.6,,,58,41,37,56,1881,497,0.4
,64,63,59,62,3014,1018,0.6,,,62,64,60,62,3217,751,0.6,,,60,56,52,58,2784,576,0.6,,,58,70,66,55,3062,998,0.6,,,59,41,37,56,1881,538,0.5
,65,63,59,62,3014,1081,0.6,,,63,64,60,62,3217,815,0.6,,,61,56,52,58,2784,632,0.6,,,59,70,66,55,3062,1068,0.6,,,60,41,37,56,1881,579,0.4
,66,56,52,66,2911,785,0.6,,,64,64,60,62,3217,879,0.7,,,62,56,52,58,2784,688,0.6,,,60,61,57,60,2841,819,0.6,,,61,41,37,56,1881,620,0.4
,67,56,52,66,2911,841,0.8,,,65,64,60,62,3217,943,0.6,,,63,56,52,58,2784,744,0.6,,,61,61,57,60,2841,880,0.6,,,62,41,37,56,1881,661,0.4
,68,51,47,68,2817,651,0.6,,,66,64,60,62,3217,1007,0.6,,,64,56,52,58,2784,800,0.6,,,62,61,57,60,2841,941,0.7,,,63,38,34,63,1853,541,0.4
,69,51,47,68,2817,702,0.6,,,67,64,60,62,3217,1071,0.6,,,65,56,52,58,2784,856,0.6,,,63,55,51,63,2775,690,0.6,,,64,38,34,63,1853,579,0.4
,70,51,47,68,2817,753,0.6,,,68,64,60,62,3217,1135,0.6,,,66,56,52,58,2784,912,0.6,,,64,55,51,63,2775,745,0.6,,,65,38,34,63,1853,617,0.4
,71,51,47,68,2817,804,0.6,,,69,64,60,62,3217,1199,0.6,,,67,51,47,67,2725,692,0.6,,,65,51,47,65,2692,623,0.6,,,66,38,34,63,1853,655,0.4
,72,47,43,72,2750,634,0.6,,,70,64,60,62,3217,1263,0.6,,,68,51,47,67,2725,743,0.6,,,66,51,47,65,2692,674,0.6,,,67,38,34,63,1853,693,0.4
,73,47,43,72,2750,681,0.6,,,71,64,60,62,3217,1327,0.6,,,69,51,47,67,2725,794,0.6,,,67,51,47,65,2692,725,0.6,,,68,38,34,63,1853,731,0.4
,74,47,43,72,2750,728,0.6,,,72,57,53,72,3082,1022,0.6,,,70,51,47,67,2725,845,0.7,,,68,51,47,65,2692,776,0.6,,,69,35,31,69,1797,618,0.4
,75,47,43,72,2750,775,0.6,,,73,57,53,72,3082,1079,0.6,,,71,51,47,67,2725,896,0.6,,,69,47,43,69,2623,620,0.6,,,70,35,31,69,1797,653,0.4
,76,47,43,72,2750,822,0.6,,,74,52,48,74,2949,899,0.6,,,72,51,47,67,2725,947,0.6,,,70,47,43,69,2623,667,0.6,,,71,33,29,71,1774,569,0.4
