scheduler,code,q,columns,layers,qubits,volume,idle,sec,floor,best_cols,q_rel,cols_rel,collapsed_to_serial,n_methods,common,q_n,cols_n,q_lo,q_hi,c_lo,c_hi
greedy,"[[17,2,6]]",39,105,101,39,3997.0,98.0,69.6,39,26,1.0,4.038461538461538,False,3,True,0.0,0.8681318681318682,39,98,26,117.0
greedy,"[[17,2,6]]",40,94,90,40,3667.0,93.0,79.9,39,26,1.0256410256410255,3.6153846153846154,False,3,True,0.01694915254237288,0.7472527472527473,39,98,26,117.0
greedy,"[[17,2,6]]",41,84,80,41,3358.0,86.0,54.5,39,26,1.0512820512820513,3.230769230769231,False,3,True,0.03389830508474576,0.6373626373626373,39,98,26,117.0
greedy,"[[17,2,6]]",42,81,77,42,3303.0,99.0,68.2,39,26,1.0769230769230769,3.1153846153846154,False,3,True,0.05084745762711865,0.6043956043956044,39,98,26,117.0
greedy,"[[17,2,6]]",43,78,74,43,3244.0,110.0,65.7,39,26,1.1025641025641026,3.0,False,3,True,0.06779661016949153,0.5714285714285714,39,98,26,117.0
greedy,"[[17,2,6]]",44,73,69,44,3130.0,82.0,75.0,39,26,1.1282051282051282,2.8076923076923075,False,3,True,0.0847457627118644,0.5164835164835165,39,98,26,117.0
greedy,"[[17,2,6]]",45,69,65,45,3020.0,85.0,33.3,39,26,1.1538461538461537,2.6538461538461537,False,3,True,0.1016949152542373,0.4725274725274725,39,98,26,117.0
greedy,"[[17,2,6]]",46,65,61,46,2871.0,119.0,43.2,39,26,1.1794871794871795,2.5,False,3,True,0.11864406779661017,0.42857142857142855,39,98,26,117.0
greedy,"[[17,2,6]]",47,62,58,47,2845.0,69.0,54.4,39,26,1.205128205128205,2.3846153846153846,False,3,True,0.13559322033898305,0.3956043956043956,39,98,26,117.0
greedy,"[[17,2,6]]",48,60,56,48,2745.0,135.0,26.7,39,26,1.2307692307692308,2.3076923076923075,False,3,True,0.15254237288135594,0.37362637362637363,39,98,26,117.0
greedy,"[[17,2,6]]",49,58,54,49,2719.0,123.0,49.0,39,26,1.2564102564102564,2.230769230769231,False,3,True,0.1694915254237288,0.3516483516483517,39,98,26,117.0
greedy,"[[17,2,6]]",50,55,51,50,2622.0,128.0,34.3,39,26,1.2820512820512822,2.1153846153846154,False,3,True,0.1864406779661017,0.31868131868131866,39,98,26,117.0
greedy,"[[17,2,6]]",51,54,50,51,2653.0,101.0,47.1,39,26,1.3076923076923077,2.076923076923077,False,3,True,0.2033898305084746,0.3076923076923077,39,98,26,117.0
greedy,"[[17,2,6]]",52,51,47,52,2517.0,135.0,40.5,39,26,1.3333333333333333,1.9615384615384615,False,3,True,0.22033898305084745,0.27472527472527475,39,98,26,117.0
