q,columns,layers,qubits,volume,idle,sec,family,method,label_raw,n_labels,q_col,excel_row,n_filled,block_key,instance,idle_true,footprint,util
40,52,48,40,2006,74,79.1,code,annealed,"[[16,3,5]]",1,28,3,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
41,52,48,40,2006,126,41.4,code,annealed,"[[16,3,5]]",1,28,4,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
42,52,48,40,2006,178,38.7,code,annealed,"[[16,3,5]]",1,28,5,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
43,52,48,40,2006,230,43.7,code,annealed,"[[16,3,5]]",1,28,6,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
44,52,48,40,2006,282,52.8,code,annealed,"[[16,3,5]]",1,28,7,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
45,52,48,40,2006,334,41.6,code,annealed,"[[16,3,5]]",1,28,8,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
46,52,48,40,2006,386,40.6,code,annealed,"[[16,3,5]]",1,28,9,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
47,52,48,40,2006,438,39.7,code,annealed,"[[16,3,5]]",1,28,10,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
48,52,48,40,2006,490,40.0,code,annealed,"[[16,3,5]]",1,28,11,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
49,52,48,40,2006,542,39.3,code,annealed,"[[16,3,5]]",1,28,12,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
50,52,48,40,2006,594,39.3,code,annealed,"[[16,3,5]]",1,28,13,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
51,52,48,40,2006,646,39.2,code,annealed,"[[16,3,5]]",1,28,14,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
52,52,48,40,2006,698,39.1,code,annealed,"[[16,3,5]]",1,28,15,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
53,52,48,40,2006,750,39.1,code,annealed,"[[16,3,5]]",1,28,16,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
54,52,48,40,2006,802,40.0,code,annealed,"[[16,3,5]]",1,28,17,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
55,52,48,40,2006,854,39.5,code,annealed,"[[16,3,5]]",1,28,18,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
56,52,48,40,2006,906,38.9,code,annealed,"[[16,3,5]]",1,28,19,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
57,52,48,40,2006,958,38.8,code,annealed,"[[16,3,5]]",1,28,20,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
58,52,48,40,2006,1010,39.0,code,annealed,"[[16,3,5]]",1,28,21,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
59,52,48,40,2006,1062,38.3,code,annealed,"[[16,3,5]]",1,28,22,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
60,52,48,40,2006,1114,39.5,code,annealed,"[[16,3,5]]",1,28,23,7,40,"[[16,3,5]]",74,2080,0.9644230769230769
61,51,47,61,2500,611,38.5,code,annealed,"[[16,3,5]]",1,28,24,7,40,"[[16,3,5]]",611,3111,0.8036001285760206
62,50,46,62,2858,242,39.5,code,annealed,"[[16,3,5]]",1,28,25,7,40,"[[16,3,5]]",242,3100,0.9219354838709677
63,50,46,62,2858,292,38.9,code,annealed,"[[16,3,5]]",1,28,26,7,40,"[[16,3,5]]",242,3100,0.9219354838709677
64,50,46,62,2858,342,38.6,code,annealed,"[[16,3,5]]",1,28,27,7,40,"[[16,3,5]]",242,3100,0.9219354838709677
65,49,46,65,2956,229,39.3,code,annealed,"[[16,3,5]]",1,28,28,7,40,"[[16,3,5]]",229,3185,0.9281004709576138
66,49,46,65,2956,278,40.2,code,annealed,"[[16,3,5]]",1,28,29,7,40,"[[16,3,5]]",229,3185,0.9281004709576138
67,46,43,67,2847,235,37.9,code,annealed,"[[16,3,5]]",1,28,30,7,40,"[[16,3,5]]",235,3082,0.9237508111615834
